epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,4126.73,1.09517,0.82273,1.28364,0.88077,0.83011,0.91506,0.66362,0.94641,0.57843,1.09599,0.000338484,0.000338484,0.000338484
163,4149.66,1.09191,0.8365,1.28158,0.89641,0.82758,0.92453,0.67466,0.9319,0.56097,1.10064,0.000330233,0.000330233,0.000330233
164,4176.72,1.08721,0.81705,1.27786,0.87674,0.84518,0.92132,0.67242,0.93759,0.56236,1.09701,0.000321981,0.000321981,0.000321981
165,4200.54,1.05801,0.802,1.27429,0.87447,0.82807,0.9157,0.66186,0.92594,0.58813,1.09289,0.000313729,0.000313729,0.000313729
166,4223.66,1.07512,0.81201,1.28558,0.86867,0.83624,0.91748,0.66335,0.93726,0.58313,1.10469,0.000305478,0.000305478,0.000305478
167,4247.12,1.05633,0.80386,1.26768,0.84311,0.85992,0.91746,0.67142,0.92486,0.57118,1.10158,0.000297226,0.000297226,0.000297226
168,4270.81,1.0684,0.79938,1.25942,0.8925,0.82677,0.92397,0.67386,0.93159,0.56116,1.09616,0.000288974,0.000288974,0.000288974
169,4294.34,1.07458,0.79848,1.26829,0.86551,0.84622,0.92364,0.67129,0.92813,0.55306,1.10069,0.000280723,0.000280723,0.000280723
170,4318.6,1.08139,0.83042,1.27561,0.86659,0.85831,0.92384,0.67453,0.92498,0.55432,1.09693,0.000272471,0.000272471,0.000272471
171,4342.67,1.06539,0.81878,1.27338,0.87496,0.8432,0.92212,0.6718,0.92467,0.56469,1.09585,0.00026422,0.00026422,0.00026422
172,4366.63,1.07395,0.82424,1.28078,0.86363,0.847,0.92237,0.67188,0.9262,0.5658,1.09835,0.000255968,0.000255968,0.000255968
173,4389.93,1.07512,0.82282,1.26764,0.86455,0.84478,0.9191,0.66617,0.93247,0.56705,1.09765,0.000247716,0.000247716,0.000247716
174,4412.76,1.07601,0.81255,1.27304,0.88884,0.83083,0.92489,0.67648,0.91731,0.55883,1.08978,0.000239465,0.000239465,0.000239465
175,4438.41,1.07411,0.81722,1.27646,0.90322,0.8168,0.92331,0.67573,0.92531,0.56067,1.09576,0.000231213,0.000231213,0.000231213
176,4462.21,1.06472,0.80229,1.27256,0.85357,0.85244,0.92734,0.67891,0.92653,0.55316,1.09587,0.000222961,0.000222961,0.000222961
177,4488.89,1.03891,0.78575,1.25628,0.88408,0.83747,0.92885,0.68016,0.92003,0.55103,1.09614,0.00021471,0.00021471,0.00021471
178,4514,1.05267,0.805,1.2672,0.88623,0.82219,0.92096,0.67279,0.92771,0.55759,1.09915,0.000206458,0.000206458,0.000206458
